tweet,sentiment
 wow you quit no more pancakes ,0
 ill try i'm mad tired ,0
 i feel you my dude   ugghh it just sucked that we lost  and i was talking soooo much shit  lmfao  there's always next year,0
  at workdamn man lol,0
 i'm having the same day  some nice chap has put my email as the return address for a ton of spam  getting all the bounces ,0
 damn the way i can't even bug u cos my bb is in rehab ,0
 there were attempts to somehow extend inner classes which would be close to  can't find the ref atm ,0
 there's no where not incredibly trashy to hang out anymore  it is hard to meet ppl around here,0
 ha i know the feeling now might be a good time to sign up for entergy's level billing plan ,0
 i know how you feel gurl  i hope things get better,0
 well technically school's out for summer for most people but i have to take summer classes so my session begins tomorrow ,0
 can u send the orb down my way raining here again ,0
 yeah  especially poo that your husband somehow neither sees nor smells despite its proximity to his desk,0
 i am saddened by this  ,0
 your bound to miss him i'm liking this weather he had another rubbish sleep  ok now though,0
 in a good mood,1
 in case you missed it check the new love on the bloggety   leave comments to let me know what'ya think ,1
 is anyone as turned on as i am,1
 is doing alright this morning  &amp lovees calculating collapse ,1
 is it me or is jeremih a lil cutie    ,1
 is juss chillin' outz listenin' to dem mad tunes beautiful night n feelin' goooood n waitin' 4 cuz to come on over ,1
 isn't today a wonderful day,1
 it makes the format tighter i prefer it now  new to me then lol i only started getting &quotserious&quot about my writing,1
 sims 3 is pure awesomeness created simon cowell&ampterri seymour they're living in the same house haha,1
 sitting ion the garden with hayley drinking ciderlovely relax after yesterdaymy first day tomorrowohhhhhh,1
 sitting making cookies with my cuzzy,1
 sleeping is for losers  and people who arent vampires,1
 smile happy looks good on you  ,1
 smile that's what i'm doing i'm shining and blooming because i'm so happy  i just wanna dream of happy thoughts forever  hahaha,1
 smiley faces,1
 so excited,1
 so good so good,1
 so happy less than a week,1
 so many old but good movies on tv tonight national lampoons vacation then the princess bride wonder of i will ever get to bed,1
 so  i'm still curious as to this wholedavid thing,1
 sold another shirt on cafepress ,1
 i wov you,1
 í´m just happy although i have a few things in mind s damn u tricky mind of mine,1
 iam bored,1
 i'd rather have you and my girlfriend at my crib runnin round naked  girl gotta girlfriend on in bed nice work ,1
 if you end having to eat your words don't worry they taste like chicken  ,1
 ihop sounds good,1
 iï¿½m feeling greate ,1
 i'm doing shalah's nails wootness ,1
 im in such a good mood right now guys,1
 i'm like so on the radio right now    or 974fm if you are in  and wanna hear some  and me  x,1
 spoke at an urban youth conference (&quotreload '09&quot) this morning &amp now at riley's softball games then on to  for nightlight whew ,1
 starbucks tonight i love my dysfunctional family,1
 steak and shrimp i'm excited,1
 stray cats ~ stray cat strut â™« ,1
 study leave  finally,1
 subscribing to swoozie on youtube   and following  on twitter adds to your street cred ),1
 sunrise  worth waiting for ,1
 im not putting no weave inmy head though gonna have to deal w/ my short cut ,1
 i'm tiredgonna go to bed most probablyhah gonna watch some tv and then hit the hay ,1
 im up and iiiiiiiiiiiiimmmmmmmmm ready i'm ready i'm ready i'm ready i'm ready lol ,1
 im watchin taken again yay haha,1
 in a good mood anyway i love music,1
 in love with some guy who lives in miami fail,1
 in the lab right now cooking up sum farout ent hotness &gt admire greatness at it works ,1
